Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,YOM,No of vehicle,Model_Code,Clean_Name
CAR,DAIHATSU,5BA-LA350S MIRA,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2023.0,21,5BA-LA350S,MIRA
CAR,JETOUR,X70 PLUS,CHINA,PETROL,1498.0,COLOMBO,BRAND NEW,2025.0,6,,X70 PLUS
CAR,SUZUKI,5BD-DA17V EVERY,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2023.0,11,5BD-DA17V,EVERY
CAR,TOYOTA,5BA-M910A ROOMY,JAPAN,PETROL,996.0,KANDY,RECONDITIONED,2023.0,1,5BA-M910A,ROOMY
CAR,BYD,DOLPHIN-DYNAMIC 70,CHINA,ELECTRIC,70.0,KALUTARA,BRAND NEW,2025.0,2,,DOLPHIN-DYNAMIC 70
CAR,HONDA,CITY RS,THAILAND,PETROL,988.0,GAMPAHA,RECONDITIONED,2025.0,19,,CITY RS
CAR,WULING,BINGUO,INDONESIA,ELECTRIC,49.0,GAMPAHA,BRAND NEW,2025.0,14,,BINGUO
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,RATNAPURA,RECONDITIONED,2025.0,20,6AA-RV5,VEZEL
CAR,HONDA,6AA-RV5 VEZEL,JAPAN,PETROL/ELE,1496.0,KURUNEGALA,RECONDITIONED,2025.0,37,6AA-RV5,VEZEL
CAR,SUZUKI,5BD-DA17V EVERY,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2024.0,17,5BD-DA17V,EVERY
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,78.0,HAMBANTOTA,RECONDITIONED,2025.0,7,5AA-A202A,RAIZE
CAR,DAIHATSU,5BA-LA350S MIRA ES,JAPAN,PETROL,658.0,MATARA,RECONDITIONED,2024.0,2,5BA-LA350S,MIRA ES
CAR,HONDA,6AA-RV5 VESEL,JAPAN,PETROL/ELE,1496.0,KALUTARA,RECONDITIONED,2025.0,1,6AA-RV5,VESEL
CAR,TOYOTA,6AA-AAHH40W ALPHARD,JAPAN,PETROL/ELE,2487.0,KALUTARA,RECONDITIONED,2025.0,1,6AA-AAHH40W,ALPHARD
CAR,HONDA,6AA-RV5  VEZEL,JAPAN,PETROL/ELE,1496.0,COLOMBO,RECONDITIONED,2023.0,7,6AA-RV5,VEZEL
CAR,WULING,CLOUD EV,INDONESIA,ELECTRIC,49.0,GAMPAHA,BRAND NEW,2025.0,1,,CLOUD EV
CAR,DAIHATSU,3BA-A210S  ROCKY,JAPAN,PETROL,996.0,RATNAPURA,RECONDITIONED,2023.0,1,3BA-A210S,ROCKY
CAR,BYD,SEALION 6 SUPERIOR,CHINA,PETROL/ELE,1498.0,KANDY,BRAND NEW,2025.0,28,,SEALION 6 SUPERIOR
CAR,CHANGAN,L07,CHINA,ELECTRIC,99.0,COLOMBO,BRAND NEW,2025.0,4,,L07
CAR,TOYOTA,5BA-A201A RAIZE,JAPAN,PETROL,1196.0,RATNAPURA,RECONDITIONED,2024.0,2,5BA-A201A,RAIZE
CAR,BYD,ATTO3-ADVANCED,CHINA,ELECTRIC,100.0,MATARA,BRAND NEW,2025.0,15,ATTO3-ADVANCED,Unknown
CAR,TOYOTA,6AA-MXPJ10 YARIS,JAPAN,PETROL/ELE,1490.0,GAMPAHA,RECONDITIONED,2024.0,3,6AA-MXPJ10,YARIS
CAR,TOYOTA,5AA-A202A RAIZE,JAPAN,PETROL/ELE,78.0,GALLE,RECONDITIONED,2025.0,9,5AA-A202A,RAIZE
